	Return	Sharpe Ratio	Max Drawdown	Trade Count
CSIQ	29.364415856521106	65.40521790006933	0.07416309474739496	53.0
ICLN	14.676686680498138	67.10551424326512	0.013155459013749468	40.0
BILI	10.349568422253334	29.12183795007889	0.030380617640272382	43.0
CVAC	9.74877913994112	21.890350106915992	0.0571793579974562	52.0
RUN	9.369726204845078	21.328154371723347	0.053536205439752425	55.0
CRNC	8.256920387163824	19.263418784346772	0.10254617836832908	50.0
ON	7.217350529104607	19.089472923815144	0.05476994561747345	45.0
OSTK	7.078636203745194	13.018640088535621	0.09279246093926792	44.0
ROST	6.199674109981007	28.57639624076276	0.023253712865249878	47.0
MRNA	6.0165160546662175	14.976041536861455	0.053154151999248646	57.0
LOGI	5.569927388592368	25.441669398732135	0.03185748615759538	49.0
WDC	5.115387773730794	11.567994941759206	0.04173828485293869	45.0
WB	4.227548595308665	12.342088581501708	0.046657449625458466	58.0
STNE	3.8298144606335462	12.586661172451626	0.041334683392207076	47.0
SQQQ	3.4458509947770635	6.26775466243346	0.0889150944061095	41.0
UAL	2.934783089713658	8.63628589217987	0.0545481954729823	51.0
DKNG	2.577001284730801	4.194719467527138	0.1783778081072839	47.0
BBBY	2.3906962264962486	5.991172318894804	0.10668095955957477	57.0
KTOS	2.3465141040104087	6.6963981795836816	0.05074686641568902	55.0
VIAC	2.0670338575232683	9.191125963459129	0.03930426361753223	49.0
FSLR	1.9530891167140654	6.650856778047953	0.08928273813201312	50.0
SBUX	1.8440009785681957	10.070052484715816	0.039992751793568614	43.0
MCHI	1.6812786218492528	13.654582222665196	0.015069700757985962	35.0
INTC	1.4514534758627442	9.806024902956617	0.01166238387033021	40.0
MU	1.366063685232482	4.228633202945741	0.05513623473847384	51.0
FUTU	1.2947368715709149	4.0513374468585885	0.061867544916453195	52.0
NTES	1.2474279919891824	6.971155364877417	0.035865579917416256	50.0
AMAT	1.1756260759850234	6.562831501367903	0.024529770264496924	33.0
AMCX	1.1141001718093508	4.791650551635575	0.05029424699909601	54.0
WYNN	1.020456617871214	3.4644651890369382	0.08077549969022706	51.0
MXIM	0.8953869404744272	5.559576972643453	0.04239829144957354	41.0
YNDX	0.8176866170864918	4.353151451892129	0.025581814036607465	49.0
AMD	0.6811284083458129	2.7547078096755975	0.03503089472145398	40.0
ATVI	0.6387500306770906	4.145921495831433	0.028090167056364173	47.0
KHC	0.6199102054959644	3.1823266935167505	0.03631431211187496	47.0
EBAY	0.5844596639771464	3.1428758086389887	0.05154647003670985	43.0
CSCO	0.5009367097989856	3.208587111210931	0.021844108638914016	52.0
JD	0.3560597180647873	1.6267202334454038	0.04360552041306599	43.0
WKHS	0.14265838144812704	0.1654863613198185	0.15035648217094527	47.0
AZN	0.11742229485586897	0.8024626241559699	0.02943778402067098	53.0
NKLA	0.030918536505225136	0.007037455036189024	0.19123462341379172	51.0
SNY	0.029272228899890118	0.04065760128385118	0.02781259091714894	57.0
GILD	0.008230245570792327	-0.132090728192851	0.03485271408898759	45.0
TER	-0.029512267119240487	-0.30335611808493773	0.040539819482313125	50.0
KC	-0.11495702117806161	-0.3758172583230557	0.09193341307014741	45.0
DISH	-0.1385079604798949	-0.7932955331196802	0.05125065566976296	47.0
PDD	-0.712153520324474	-3.2213812030330433	0.12204556356208669	51.0
DPHC	-0.8694216046111353	-1.2751718726653498	0.3282331511595224	50.0
FMCI	-0.9818047975572163	-1.5156008909801317	0.39020322866808754	58.0
